gene	average
ARFIP2	7.0925174
DNMT3A	6.882185
GRWD1	6.565546
MRPS2	6.879851
PDIA5	6.998008
HERPUD1	8.672601
CENPE	5.6049075
KEAP1	7.171275
RAD51C	6.8995037
PDGFA	6.3373237
PRKCQ	6.133162
TESK1	6.631161
NUDT9	7.174606
ATP1B1	8.226774
HSPB1	8.307598
SQSTM1	8.28989
TMCO1	8.379224
GARRE1	6.772966
FASTKD5	6.832552
FBXO11	7.865044
STUB1	8.708447
CYCS	9.156183
HTRA1	6.7738714
CISD1	7.526906
LRRC41	7.012589
PRKCH	7.0020185
HTATSF1	7.9404316
KIF5C	6.0042543
LBR	8.334936
MAMLD1	5.4058213
ILK	7.7100506
POP4	7.8159666
ICAM1	6.7788763
TBC1D31	6.098307
STAP2	6.1258874
H2BC12	8.330297
IKBKE	6.281188
PIK3C3	7.4224358
DAXX	6.844722
KCTD5	7.0537276
C5	5.5707335
VAT1	7.6149697
MICALL1	6.957303
MEF2C	7.251313
TMED10	8.959656
DNAJC15	7.818701
FOXJ3	7.786775
AURKA	6.906246
SPTAN1	7.6271286
CRKL	7.8633385
TRAP1	7.5960755
DNM1	5.919556
AKT1	7.1229224
ATMIN	7.5069294
ORC1	5.111651
CCNA1	4.744636
PCNA	8.203033
RFC2	6.709738
PPP2R3C	7.4966273
SUV39H1	6.193654
EGF	4.6749353
C2CD2	6.726761
LSM6	7.4771175
IKBKB	7.3401847
PMM2	6.6017947
BCL7B	6.947676
EIF4G1	7.755663
PIK3R4	7.064183
CPSF4	7.3126144
APPBP2	7.3885064
SPDEF	6.615188
CIAO3	6.226281
CAPN1	6.992083
FAM20B	7.0533924
ATP6V1D	8.157276
CPNE3	8.222748
TIMELESS	6.7154875
PAK4	6.829362
PRUNE1	7.3904314
CDC25A	5.996498
SENP6	7.6566453
TBPL1	7.3410807
SERPINE1	6.274062
HLA-DMA	7.328909
S100A4	8.310885
COL1A1	8.062276
TARBP1	7.044686
SCARB1	6.829153
DDIT4	8.298925
PLOD3	7.4006
EPRS1	8.153354
TRIM2	6.64112
IPO13	6.461541
HSPA1A	8.779198
CCNF	6.344762
E2F2	6.513812
RAB31	7.8905325
GNPDA1	7.190603
NIPSNAP1	7.567233
MCOLN1	6.365946
WIPF2	7.5320053
CDCA4	6.932849
TLCD3A	6.0957017
TCEA2	6.3896346
HMG20B	7.129764
PKIG	7.155092
SLC1A4	7.1913614
HOMER2	5.596697
TWF2	6.7612596
PSIP1	8.040189
FUT1	5.3138194
KLHL9	7.5571456
DCUN1D4	7.0106153
KDM5A	7.548741
CHMP6	6.2610936
RPS6	10.442248
DHX29	7.353019
EPHA3	4.982088
PRKACA	6.863253
BNIP3L	8.516636
PSMB8	7.5537524
DUSP4	6.4261813
SYPL1	8.198651
IQGAP1	8.668541
CHEK1	6.442729
CHN1	6.2739716
SOX2	5.7924294
BHLHE40	7.881259
GADD45A	7.79312
RASA1	7.982446
SPAG4	5.4510927
NFE2L2	8.407692
SLC25A13	6.915775
PACSIN3	5.28922
ETFB	7.4670196
CCDC86	6.868231
PSMG1	7.355477
PSMB10	7.42869
EXOSC4	7.1571803
YKT6	6.824342
EAPP	7.680952
RAD9A	6.3585134
ABCB6	6.230607
RAB11FIP2	7.101507
EGR1	8.176968
WDTC1	7.043232
SLC2A6	5.9328
NUP62	7.538202
UBE2J1	7.948005
EFCAB14	8.284253
ADAT1	6.5019927
FKBP4	7.6089334
SLC11A2	7.289831
PAX8	6.8916383
CASP7	7.026331
LPAR2	6.520344
MYCBP	7.0145617
TCTN1	6.535807
PRKCD	6.489041
HSPD1	9.592287
USP6NL	6.4198933
ETV1	6.089596
HSPA4	8.103278
ACLY	8.449376
ZMYM2	7.722178
ADO	7.3797793
MFSD10	6.6462617
LAP3	8.28108
PRR7	5.3115087
HYOU1	7.5987477
GRN	8.120613
HADH	7.706299
GNAS	10.062798
PPIC	7.015833
ADH5	8.214676
COG7	6.261826
TEX10	7.097804
UBE3C	7.445429
RBM15B	7.0282593
OXSR1	7.5326734
GABPB1	6.1180396
PGAM1	9.178145
CLPX	7.3078785
VPS28	8.013675
MALT1	6.842098
METRN	6.4761953
PGRMC1	8.562884
KIT	5.8583517
SUZ12	8.141095
